chroma_stft,rms,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,mfcc_20,label
0.41356522,0.024050852,1694.4285005207203,1210.479075454103,2680.658790423036,0.08848056852263932,-486.5292,70.21681,22.212946,25.378933,8.788598,5.50357,1.8710525,-1.6891812,-1.7191633,-4.1679688,-4.2317595,-1.8521745,-3.3002815,-5.0245485,0.12962982,-0.8710119,-4.462709,-1.9584693,-3.3946993,-4.241349,REAL
0.3941551,0.021825314,1912.096586300011,1367.5525248903505,3079.11471434791,0.10142758018092106,-498.8496,63.55513,26.210678,32.265965,21.741299,5.783562,-4.0654087,-4.471538,-6.3119526,-4.358778,-6.638374,-4.5840917,-2.4768932,-5.254473,-1.2441832,1.4002689,-6.072676,-2.2851357,-2.7355118,-4.953632,REAL
0.39509228,0.026854176,1779.9407364549145,1554.5728902389674,3080.5313724482394,0.07156835030476007,-483.8802,66.59173,23.157719,18.692812,16.420574,9.378736,-8.139217,0.88233036,-0.104454346,-6.4427056,-3.235491,-2.5877943,-1.2278292,-7.559835,1.3711108,-0.9173858,-6.234776,-1.330552,-4.2217374,-4.6382885,REAL
0.42973167,0.021837847,1622.205539837442,1382.1922550766694,2672.729794061534,0.09569859688948995,-497.1064,77.021164,18.911055,17.880192,10.479096,5.0727725,-7.5797844,-0.35930225,1.8254162,-7.323229,-3.605279,-4.517193,-2.7525394,-9.363462,1.2111586,-0.14710651,-8.174155,-0.8739104,-3.7105095,-4.150445,REAL
0.4290907,0.022147473,1769.7178017882582,1408.8972648928932,2872.165443770484,0.08966949085032774,-498.96887,68.146835,22.298836,28.878403,16.274845,5.028883,-5.5686603,-1.3737274,-0.27763668,-3.6458833,-6.748252,-6.552801,-5.2691717,-7.248017,-0.62362194,0.6506653,-7.012619,-0.4718116,-3.301789,-4.421123,REAL
0.40910214,0.024556262,1850.9257419135777,1477.6494287462776,3147.5226340279123,0.08992122496613777,-484.31604,77.348076,30.121523,25.508116,11.672099,5.9747963,-3.8926053,-3.0282397,-5.726512,-6.6793776,-4.2145514,-2.1351023,-0.93263596,-5.74665,-2.2138894,0.2775276,-6.888655,-1.8774937,-3.3412035,-5.0362854,REAL
0.4062844,0.03027069,1849.2899361187117,1385.616066321906,3050.234801397073,0.07755370339064915,-491.39722,69.96257,26.478676,29.273447,17.612427,8.67333,-1.4911277,2.607783,-1.8657396,-6.936307,-4.94008,-5.283406,-3.3704107,-6.7066917,-5.110007,-0.28812084,-6.867817,-0.117146984,-2.3579874,-4.810065,REAL
0.40266564,0.027056685,1808.984695873115,1443.4226058396473,3050.8732184537057,0.09034223526993033,-475.33292,64.586296,16.416681,22.681543,12.556624,4.927492,-8.603813,-1.9036242,-4.657981,-8.287982,-4.5012474,-5.0237117,-3.4664636,-7.956388,-3.1325212,-0.4632644,-6.43321,-1.6640803,-5.927896,-6.474644,REAL
0.38301325,0.015720911,1969.195055439365,1567.3410181785778,3348.8047502358263,0.11649551627805728,-501.67743,59.318142,12.509385,19.36959,11.875191,4.7217126,-7.4088693,-0.60712135,-3.7588763,-7.164402,-5.474989,-6.471946,-3.6322062,-6.7975373,0.1535713,1.0825464,-4.9370723,-1.4453218,-5.6367536,-5.5711594,REAL
0.4249232,0.022618627,1309.1415325641149,975.8957585527345,2087.7873754353714,0.08186042714783281,-526.86017,81.68935,25.86278,20.291142,17.53773,6.509453,-1.7149012,-2.982084,-5.994161,-4.6374373,-3.2791858,-2.2057314,-6.391361,-5.566474,1.6070844,0.05920939,-5.932736,-3.0437498,-1.8685586,-5.473549,REAL
